Week_Start,Country_Code,Category,Media_Volume,tone_net_sentiment,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,Source_Diversity
2026-02-22,AE,Fashion_Beauty,231,-0.124425525,3.935484839,4.059910364,7.995395202,20.68898896,0.464263641,147
2026-03-01,AE,Fashion_Beauty,575,-1.297777245,2.798641018,4.096418262,6.89505928,21.67232867,0.971452624,287
2026-03-08,AE,Fashion_Beauty,267,-0.916678794,3.301300285,4.217979079,7.519279364,20.86420759,0.588955184,181
2026-03-15,AE,Fashion_Beauty,198,-0.279016126,3.510282569,3.789298694,7.299581263,20.56528432,0.599776019,140
2026-03-22,AE,Fashion_Beauty,140,-0.448342188,3.229508837,3.677851026,6.907359863,21.12771807,0.681809192,109
2026-03-29,AE,Fashion_Beauty,359,-4.105483883,2.893607623,6.999091506,9.89269913,19.81700281,1.097715282,212
2026-04-05,AE,Fashion_Beauty,185,-0.155111608,3.917223784,4.072335391,7.989559175,21.06324961,0.375703694,131
2026-04-12,AE,Fashion_Beauty,182,-1.423400031,3.315010016,4.738410048,8.053420064,19.0896475,0.267726148,143
2026-04-19,AE,Fashion_Beauty,152,-0.286253757,3.885174879,4.171428636,8.056603515,19.05818571,0.381910932,105
2026-04-26,AE,Fashion_Beauty,177,1.492396538,4.386770116,2.894373578,7.281143694,20.24772899,0.289075475,106
2026-05-03,AE,Fashion_Beauty,130,2.355717977,4.949895459,2.594177482,7.544072941,20.65791325,0.479505958,78
2026-05-10,AE,Fashion_Beauty,128,1.329016083,4.186744601,2.857728518,7.044473119,19.99475216,0.541181273,90
2026-05-17,AE,Fashion_Beauty,430,0.936622311,3.406416446,2.469794135,5.876210581,18.80149513,0.438076545,227
2026-05-24,AE,Fashion_Beauty,219,-1.182727215,2.621450277,3.804177492,6.425627769,20.31659305,0.475647396,160
2026-05-31,AE,Fashion_Beauty,140,1.704389626,4.453225308,2.748835683,7.202060991,20.90008546,0.364000227,89
2026-06-07,AE,Fashion_Beauty,233,2.834109585,5.112865663,2.278756078,7.391621741,20.17393035,0.314570064,135
2026-06-14,AE,Fashion_Beauty,266,-0.091825778,3.345463313,3.437289091,6.782752404,19.41398609,0.385415701,146
2026-06-21,AE,Fashion_Beauty,224,1.981966691,4.486731308,2.504764617,6.991495926,18.71284114,0.286694992,162
2026-06-28,AE,Fashion_Beauty,120,1.982936114,4.214576933,2.231640819,6.446217753,20.74713473,0.56841749,84
2026-07-05,AE,Fashion_Beauty,120,0.97374722,4.034804405,3.061057184,7.095861589,19.92823344,0.777212376,87
2026-07-12,AE,Fashion_Beauty,162,0.17749948,4.164955551,3.987456071,8.152411623,19.33476598,0.536857862,115
2026-07-19,AE,Fashion_Beauty,178,0.142276737,3.050485522,2.908208785,5.958694307,20.52109874,0.402606364,119
2026-07-26,AE,Fashion_Beauty,152,-0.139934097,3.641284416,3.781218513,7.422502929,20.77508097,0.616325935,106
2026-08-02,AE,Fashion_Beauty,115,2.162371154,4.590867035,2.428495881,7.019362917,21.20875943,0.355652532,73
2026-08-09,AE,Fashion_Beauty,213,0.347542686,4.587262845,4.239720158,8.826983003,19.09687648,0.562433048,188
2026-08-16,AE,Fashion_Beauty,213,0.650200377,3.814280392,3.164080015,6.978360407,20.89011524,0.580087891,161
2026-08-23,AE,Fashion_Beauty,129,2.530179929,4.436738128,1.906558199,6.343296328,20.95024096,0.682723481,108
2023-01-01,AE,Fitness_Wearables,52,-1.598138436,3.939781358,5.537919794,9.477701153,18.89999551,0.208289553,44
2023-01-08,AE,Fitness_Wearables,32,2.88533167,4.906961606,2.021629936,6.928591542,18.56641341,0.207701923,15
2023-01-15,AE,Fitness_Wearables,30,1.931581807,4.544937217,2.61335541,7.158292627,18.43286855,0.168839546,21
2023-01-22,AE,Fitness_Wearables,32,3.795543912,5.405978952,1.61043504,7.016413991,18.72408109,0.366153437,18
2023-01-29,AE,Fitness_Wearables,66,0.411306001,3.681495267,3.270189266,6.951684533,19.77197571,0.471171077,45
2023-02-05,AE,Fitness_Wearables,32,2.203521432,4.114567808,1.911046375,6.025614183,17.06583849,0.831213325,25
2023-02-12,AE,Fitness_Wearables,61,-1.187369107,3.522168323,4.70953743,8.231705753,18.37413457,0.442340112,48
2023-02-19,AE,Fitness_Wearables,85,-1.037595917,3.178910612,4.216506528,7.39541714,18.94432287,0.400504542,60
2023-02-26,AE,Fitness_Wearables,114,-4.557224987,2.489435827,7.046660815,9.536096642,18.88893517,0.310313907,79
2023-03-05,AE,Fitness_Wearables,95,-0.317332052,4.16876911,4.486101162,8.654870272,19.30785391,0.25316402,58
2023-03-12,AE,Fitness_Wearables,197,1.056788064,4.415045056,3.358256992,7.773302048,20.09512981,0.597252173,144
2023-03-19,AE,Fitness_Wearables,84,0.532609737,3.920206241,3.387596504,7.307802745,18.43619895,0.745232267,68
2023-03-26,AE,Fitness_Wearables,52,-0.711583945,3.638694016,4.350277961,7.988971978,19.28125933,0.26657178,45
2023-04-02,AE,Fitness_Wearables,122,1.277816396,4.147423246,2.86960685,7.017030096,15.77727547,0.181138596,89
2023-04-09,AE,Fitness_Wearables,115,-1.288740403,3.186883811,4.475624214,7.662508025,18.81427511,0.218876216,81
2023-04-16,AE,Fitness_Wearables,210,-0.241736337,3.719782209,3.961518545,7.681300754,19.47712167,0.172237825,175
2023-04-23,AE,Fitness_Wearables,64,2.051739983,5.032308599,2.980568615,8.012877214,18.17042685,0.416560476,56
2023-04-30,AE,Fitness_Wearables,57,2.582447245,4.980307094,2.39785985,7.378166944,18.84228303,0.484435729,42
2023-05-07,AE,Fitness_Wearables,54,-0.714476954,3.266918469,3.981395423,7.248313893,18.63229639,0.517609534,41
2023-05-14,AE,Fitness_Wearables,46,4.25191468,5.80836589,1.55645121,7.364817101,18.64746441,0.622976327,28
2023-05-21,AE,Fitness_Wearables,94,0.104057547,3.648052194,3.543994646,7.19204684,18.59417367,0.391404088,73
2023-05-28,AE,Fitness_Wearables,73,-0.601416059,3.873792433,4.475208492,8.349000925,19.97332227,0.544436963,53
2023-06-04,AE,Fitness_Wearables,60,1.966983759,4.295209129,2.328225369,6.623434498,18.56568701,0.749106989,37
2023-06-11,AE,Fitness_Wearables,64,3.302710729,5.233723115,1.931012386,7.164735501,19.35228114,0.618882898,38
2023-06-18,AE,Fitness_Wearables,67,2.1121435,4.728396674,2.616253174,7.344649848,19.00488703,0.40235799,51
2023-06-25,AE,Fitness_Wearables,56,-2.451075513,3.864670161,6.315745674,10.18041583,16.97945418,0.396839474,46
2023-07-02,AE,Fitness_Wearables,82,-1.298034126,3.811616087,5.109650213,8.921266301,19.21313725,0.485323586,56
2023-07-09,AE,Fitness_Wearables,57,4.287120742,5.556487693,1.269366952,6.825854645,20.14595582,0.462801314,38
2023-07-16,AE,Fitness_Wearables,157,-2.344418759,3.250005964,5.594424723,8.844430687,17.60832016,0.428478655,110
2023-07-23,AE,Fitness_Wearables,49,1.513276346,4.546849297,3.033572951,7.580422248,18.53872382,0.584551121,31
2023-07-30,AE,Fitness_Wearables,48,4.252667837,5.627040867,1.37437303,7.001413898,19.37345457,1.087484155,29
2023-08-06,AE,Fitness_Wearables,52,1.25852347,4.378953051,3.120429581,7.499382632,19.44656226,0.479977911,37
2023-08-13,AE,Fitness_Wearables,57,-1.540579203,3.292644344,4.833223547,8.125867891,21.44757869,0.44373412,38
2023-08-20,AE,Fitness_Wearables,34,2.003703026,4.513712724,2.510009698,7.023722423,18.88923977,0.347502053,18
2023-08-27,AE,Fitness_Wearables,53,2.152065201,4.942824178,2.790758977,7.733583155,19.95357362,0.568070782,33
2023-09-03,AE,Fitness_Wearables,26,3.349204649,4.763108936,1.413904287,6.177013223,17.82368569,0.544904313,22
2023-09-10,AE,Fitness_Wearables,61,3.209881664,5.24489747,2.035015805,7.279913275,18.72048469,0.614566106,36
