Week_Start,Country_Code,Total_Events,Media_Volume,Total_Sources,Total_Mentions,Avg_Articles_Per_Event,Source_Diversity,Media_Tone,Avg_Goldstein,Root_Event_Count,Positive_Event_Count,Negative_Event_Count
2025-06-08,SG,300,2057,300,2065,6.8566666666666665,1.0,-0.54052756339748842,2.97,208,131,146
2025-06-22,SG,33,87,33,87,2.6363636363636362,1.0,1.9549594948723665,2.5636363636363644,30,32,1
2025-06-29,SG,285,1648,297,1678,5.7824561403508774,1.0421052631578949,0.77684613762077659,3.0810526315789475,239,183,99
2025-07-06,SG,661,3502,667,3583,5.2980332829046892,1.0090771558245082,-0.027743084357698514,3.1225416036308613,458,298,327
2025-07-13,SG,629,3877,645,4015,6.1637519872813993,1.0254372019077904,-1.1257602180449617,2.8971383147853738,457,197,403
2025-07-20,SG,652,4025,654,4212,6.1733128834355817,1.0030674846625769,1.5762046932396867,2.7481595092024538,490,465,171
2025-07-27,SG,307,1902,309,1956,6.19543973941368,1.006514657980456,0.81902845415714953,3.2807817589576542,234,188,114
2025-08-03,SG,428,2818,432,2879,6.58411214953271,1.0093457943925235,0.051069213500315347,3.4011682242990653,331,232,179
2025-08-10,SG,323,2097,323,2107,6.4922600619195032,1.0,-0.058285579454572148,2.8925696594427239,241,175,139
2025-08-17,SG,380,2597,390,2633,6.83421052631579,1.0263157894736843,0.093359087368183588,3.6221052631578949,283,221,140
2025-08-24,SG,382,2770,388,2770,7.2513089005235605,1.0157068062827226,-0.731793116328634,3.2761780104712046,284,162,205
2025-08-31,SG,411,2577,415,2675,6.2700729927007295,1.0097323600973236,0.98314695025136223,3.0985401459854014,317,267,131
2025-09-07,SG,419,2880,427,2938,6.8735083532219576,1.0190930787589498,0.57093309512835821,2.8878281622911692,313,239,175
2025-09-14,SG,274,2034,279,2076,7.4233576642335759,1.0182481751824817,-0.58049651986564721,3.2240875912408762,210,121,140
2025-09-21,SG,358,2747,358,2884,7.6731843575419,1.0,0.23729633841558262,3.0882681564245806,281,204,146
2025-09-28,SG,400,2669,400,2759,6.6724999999999985,1.0,0.70765841417444786,2.9812499999999997,255,225,172
2025-10-05,SG,472,3229,476,3298,6.8411016949152534,1.0084745762711864,1.0300098243291405,2.9266949152542372,359,293,166
2025-10-12,SG,339,2250,348,2292,6.6371681415929205,1.0265486725663715,-0.22895886721906861,3.0144542772861356,233,164,169
2025-10-19,SG,417,2800,427,2850,6.7146282973621112,1.0239808153477221,-0.35525880457375919,2.7860911270983215,300,185,223
2025-10-26,SG,407,3256,431,3320,8.0,1.058968058968059,-0.38151493672288056,3.3643734643734642,307,186,205
