Country_Name,Category,Search_Velocity,Search_Acceleration,Media_Volume,tone_net_sentiment,tone_polarity,tone_activity_density,Source_Diversity,Inflation_Rate,Internet_Penetration,holiday_count,Search_Velocity_Lag1,Search_Velocity_Lag2
Brazil,Fashion_Beauty,-8.479999999999997,-16.209999999999994,86.0,0.27,6.01,23.36,48.0,5.01675279604836,84.46347227,0,7.729999999999997,0.3900000000000005
Brazil,Fitness_Wearables,-10.110000000000014,-11.810000000000016,15.0,-0.15,6.37,21.8,15.0,5.01675279604836,84.46347227,0,1.7000000000000028,-7.299999999999997
Brazil,Fitness_Wearables,-1.3499999999999943,8.76000000000002,15.0,-3.02,6.77,18.86,13.0,5.01675279604836,84.46347227,0,-10.110000000000014,1.7000000000000028
Brazil,Fitness_Wearables,22.370000000000005,23.72,9.0,-0.71,6.52,20.57,9.0,5.01675279604836,84.46347227,1,-1.3499999999999943,-10.110000000000014
Brazil,Nutrition_Diets,-11.920000000000002,-16.92,5908.0,-1.62,7.19,23.67,879.0,5.01675279604836,84.46347227,0,5.0,-9.15
Brazil,Nutrition_Diets,1.3300000000000054,13.250000000000009,5532.0,-1.23,7.1,23.77,789.0,5.01675279604836,84.46347227,0,-11.920000000000002,5.0
Brazil,Nutrition_Diets,30.559999999999995,29.22999999999999,4791.0,-1.49,7.25,23.84,758.0,5.01675279604836,84.46347227,1,1.3300000000000054,-11.920000000000002
Brazil,Nutrition_Diets,-20.07,-50.63,487.0,-1.2,6.99,24.14,196.0,5.01675279604836,84.46347227,0,30.559999999999995,1.3300000000000054
Canada,Fashion_Beauty,-1.6599999999999966,-6.179999999999993,572.0,-0.54,6.39,21.9,366.0,2.07232411149103,94.353302,0,4.519999999999996,1.8800000000000023
Canada,Fashion_Beauty,3.799999999999997,5.459999999999994,642.0,-0.07,6.21,21.87,361.0,2.07232411149103,94.353302,0,-1.6599999999999966,4.519999999999996
Canada,Fashion_Beauty,-0.1700000000000017,-3.969999999999999,708.0,0.28,6.34,21.99,394.0,2.07232411149103,94.353302,1,3.799999999999997,-1.6599999999999966
Canada,Fashion_Beauty,-0.7999999999999972,-0.6299999999999955,38.0,-0.93,6.81,22.66,34.0,2.07232411149103,94.353302,0,-0.1700000000000017,3.799999999999997
Canada,Fitness_Wearables,-3.25,-4.420000000000002,8.0,0.78,4.53,24.51,8.0,2.07232411149103,94.353302,0,1.1700000000000017,-0.4399999999999977
Canada,Fitness_Wearables,2.5,5.75,9.0,1.96,6.78,20.35,9.0,2.07232411149103,94.353302,0,-3.25,1.1700000000000017
Canada,Fitness_Wearables,0.0799999999999983,-2.4200000000000017,4.0,0.18,6.39,21.92,4.0,2.07232411149103,94.353302,1,2.5,-3.25
Canada,Nutrition_Diets,-1.2600000000000051,-3.180000000000007,4443.0,-0.77,7.01,23.12,1093.0,2.07232411149103,94.353302,0,1.9200000000000017,-3.269999999999996
Canada,Nutrition_Diets,3.910000000000011,5.170000000000016,5112.0,-1.31,7.28,22.97,1290.0,2.07232411149103,94.353302,0,-1.2600000000000051,1.9200000000000017
Canada,Nutrition_Diets,4.859999999999999,0.9499999999999886,5083.0,-0.94,7.04,22.85,1240.0,2.07232411149103,94.353302,1,3.910000000000011,-1.2600000000000051
Canada,Nutrition_Diets,-4.730000000000004,-9.590000000000003,308.0,-0.82,7.13,23.06,205.0,2.07232411149103,94.353302,0,4.859999999999999,3.910000000000011
China,Fashion_Beauty,-0.370000000000001,-1.8600000000000008,2342.0,-0.01,7.59,25.9,653.0,0.0595646916565403,91.6,0,1.4900000000000002,-1.8599999999999997
China,Fashion_Beauty,1.1900000000000013,1.5600000000000025,2263.0,-0.1,7.89,25.36,857.0,0.0595646916565403,91.6,0,-0.370000000000001,1.4900000000000002
China,Fashion_Beauty,0.8200000000000003,-0.370000000000001,2376.0,0.12,7.42,25.48,945.0,0.0595646916565403,91.6,0,1.1900000000000013,-0.370000000000001
China,Fashion_Beauty,17.19,16.37,141.0,1.42,7.52,25.96,73.0,0.0595646916565403,91.6,0,0.8200000000000003,1.1900000000000013
China,Fitness_Wearables,1.6099999999999994,1.1999999999999993,25.0,1.32,7.08,24.91,19.0,0.0595646916565403,91.6,0,0.4100000000000001,-1.150000000000002
China,Fitness_Wearables,5.399999999999999,3.789999999999999,23.0,2.1,6.62,23.93,18.0,0.0595646916565403,91.6,0,1.6099999999999994,0.4100000000000001
China,Fitness_Wearables,-1.0399999999999991,-6.439999999999998,39.0,2.05,8.03,26.04,22.0,0.0595646916565403,91.6,0,5.399999999999999,1.6099999999999994
China,Fitness_Wearables,29.5,30.54,1.0,-3.54,11.16,19.78,1.0,0.0595646916565403,91.6,0,-1.0399999999999991,5.399999999999999
China,Nutrition_Diets,0.7599999999999998,1.6399999999999997,22082.0,0.08,8.12,27.06,2089.0,0.0595646916565403,91.6,0,-0.8799999999999999,0.5800000000000001
China,Nutrition_Diets,6.74,5.98,18477.0,0.11,8.22,26.72,2134.0,0.0595646916565403,91.6,0,0.7599999999999998,-0.8799999999999999
China,Nutrition_Diets,-4.379999999999999,-11.12,18450.0,0.23,8.06,26.67,2180.0,0.0595646916565403,91.6,0,6.74,0.7599999999999998
China,Nutrition_Diets,27.09,31.469999999999995,1496.0,0.04,8.2,26.93,439.0,0.0595646916565403,91.6,0,-4.379999999999999,6.74
France,Fashion_Beauty,1.8699999999999972,-1.7300000000000004,2574.0,-0.46,6.31,20.9,1132.0,0.943770212469976,88.65381638,0,3.599999999999998,-0.4899999999999984
France,Fashion_Beauty,2.0500000000000043,0.1800000000000068,3317.0,-0.41,6.37,20.94,1590.0,0.943770212469976,88.65381638,0,1.8699999999999972,3.599999999999998
France,Fashion_Beauty,3.0799999999999983,1.029999999999994,3330.0,-0.38,6.59,20.78,1438.0,0.943770212469976,88.65381638,0,2.0500000000000043,1.8699999999999972
France,Fashion_Beauty,-6.159999999999997,-9.239999999999997,367.0,0.16,6.64,20.88,275.0,0.943770212469976,88.65381638,0,3.0799999999999983,2.0500000000000043
