Week_Start,Country_Code,Country_Name,Category,Search_Interest,Search_Velocity,Search_Acceleration
2023-01-15,FR,France,Nutrition_Diets,37.44,0.08,1.96
2023-01-15,GB,United_Kingdom,Fashion_Beauty,50.7,-0.12,-1.99
2023-01-15,GB,United_Kingdom,Fitness_Wearables,74.64,-6.73,2.07
2023-01-15,GB,United_Kingdom,Nutrition_Diets,79.22,-6.79,-4.49
2023-01-15,IN,India,Fashion_Beauty,54.43,0.37,-0.36
2023-01-15,IN,India,Fitness_Wearables,76.53,-0.34,2.89
2023-01-15,IN,India,Nutrition_Diets,75.75,2.87,4.44
2023-01-15,JP,Japan,Fashion_Beauty,20.24,0.84,0.25
2023-01-15,JP,Japan,Fitness_Wearables,28.43,-0.88,0.78
2023-01-15,JP,Japan,Nutrition_Diets,11.7,0.39,-0.88
2023-01-15,KE,Kenya,Fashion_Beauty,84.78,-4.75,-1.97
2023-01-15,KE,Kenya,Fitness_Wearables,71.06,-3.26,-5.84
2023-01-15,KE,Kenya,Nutrition_Diets,81.04,-1.1,-7.28
2023-01-15,MX,Mexico,Fashion_Beauty,52.45,-3.12,3.54
2023-01-15,MX,Mexico,Fitness_Wearables,68.23,-5.76,2.08
2023-01-15,MX,Mexico,Nutrition_Diets,35.62,-0.72,-1.44
2023-01-15,NG,Nigeria,Fashion_Beauty,82.08,-7.95,-9.11
2023-01-15,NG,Nigeria,Fitness_Wearables,85.55,7.4,5.22
2023-01-15,NG,Nigeria,Nutrition_Diets,90.21,5.45,0.13
2023-01-15,SG,Singapore,Fashion_Beauty,54.45,-0.42,-3.88
2023-01-15,SG,Singapore,Fitness_Wearables,61.59,-2.69,3.78
2023-01-15,SG,Singapore,Nutrition_Diets,52.39,-0.42,3.72
2023-01-15,US,United_States,Fashion_Beauty,42.61,-0.35,0.86
2023-01-15,US,United_States,Fitness_Wearables,61.88,-1.89,6.1
2023-01-15,US,United_States,Nutrition_Diets,64.98,-0.09,5.35
2023-01-15,ZA,South_Africa,Fashion_Beauty,66.57,0.83,4.17
2023-01-15,ZA,South_Africa,Fitness_Wearables,91.04,-4.13,-2.37
2023-01-15,ZA,South_Africa,Nutrition_Diets,87.73,-9.43,-6.59
2023-01-22,AE,United_Arab_Emirates,Fashion_Beauty,65.9,-0.61,-1.7
2023-01-22,AE,United_Arab_Emirates,Fitness_Wearables,69.03,-2.71,-4.17
2023-01-22,AE,United_Arab_Emirates,Nutrition_Diets,71.01,-2.11,-6.06
2023-01-22,AU,Australia,Fashion_Beauty,58.68,0,-0.49
2023-01-22,AU,Australia,Fitness_Wearables,83.35,1.75,7.41
2023-01-22,AU,Australia,Nutrition_Diets,82.34,-1.81,1.06
2023-01-22,BR,Brazil,Fashion_Beauty,51.91,0.86,2.46
2023-01-22,BR,Brazil,Fitness_Wearables,71.17,-0.9,-0.3
2023-01-22,BR,Brazil,Nutrition_Diets,37.55,-1.71,-3.31
2023-01-22,CA,Canada,Fashion_Beauty,64.94,1.87,-0.12
2023-01-22,CA,Canada,Fitness_Wearables,77.91,0.74,4.62
2023-01-22,CA,Canada,Nutrition_Diets,82.45,-1.26,-0.81
